Timestamp,Track_Block_ID,Sensor_ID,Voltage_V,Current_A,Temperature_C,Vibration_m_s2,Relay_Status,Timer_TON_ms,Timer_TCH_ms,JK_FlipFlop_Q,Signal_Output_Q0,Override_Flag_ATC,Occupancy_State,Signal_Transition_Delay_ms,Block_Clearance_Time_s,Train_Headway_s,Ambient_Temp_C,Humidity_percent,Dust_Index_ppm,Track_Resistance_Ohm,PLC_CPU_Load_percent,HMI_Alert_Code,Failure_Type,Component_Age_days,Maintenance_Action,RUL_Predicted_days,Edge_Anomaly_Score,Cloud_Health_Index,Predicted_Failure_Prob,Location_ID,Operator_ID
2025-01-01 00:00:00,B7,S16,259.5243151015875,14.005649735678265,33.75783668787628,2.5,1,174.07480265009283,215.64617662490113,0,0,1,CLEAR,-20.89575510322023,59.50997975693965,89.97395048684524,34.923621040480334,98.0,127.07064697322333,14.0,36.89473617636037,A2,C6,1870.699559243859,Clean Contacts,297.4026069924234,0.9321119875688616,0.7749555306361212,0.1159959188509506,L1,O4
2025-01-01 00:00:01,B20,S2,212.3587458262839,2.5530147149748625,38.999337475352206,2.5,1,290.1896461123152,518.1095696556162,0,1,0,OCCUPIED,67.73395972227901,41.327588027616656,237.04376507071342,32.145207071144185,98.0,140.0,14.0,100.0,A2,C6,2608.1918608987608,Replace Timer,130.14117269571466,0.48209388970964,0.3478744377789705,0.4561631824380252,L5,O5
2025-01-01 00:00:02,B15,S28,227.47434417497053,4.809501076185436,25.72662722856038,2.5,1,420.57092320234847,196.16737536991687,0,0,0,CLEAR,137.01753625297087,178.65250060348194,223.81859508422323,31.724909847479445,98.0,140.0,14.0,100.0,A2,C7,2800.0,Lubricate Relay,40.68150545419969,0.7359548564523708,0.2055305385483931,0.8611696161192793,L1,O10
2025-01-01 00:00:03,B11,S22,218.4800680957147,6.484265757383619,26.50025121799888,2.5,1,225.772210642734,286.84271192792886,1,0,0,OCCUPIED,63.93564150742257,104.71091342393558,208.63810584984535,31.75557008366198,97.06758485860811,97.83425395695389,14.0,48.028245378702,A4,C6,1362.4646450634466,Replace Timer,191.9250575098748,0.2332217829801561,0.2541426649252103,0.1160758288754675,L2,O9
2025-01-01 00:00:04,B8,S30,226.0722685813448,6.7672460751818075,36.31215342143439,2.5,0,301.7921800881824,428.3079634196727,1,0,1,OCCUPIED,112.6938255586634,121.77140862778144,178.29540152385894,33.103175923344615,98.0,140.0,14.0,100.0,A4,C1,2800.0,Lubricate Relay,316.24775970203893,0.6435047437150136,0.903731105359096,0.5522739107766482,L3,O10
2025-01-01 00:00:05,B7,S20,251.0173852244573,4.997950033920872,31.464020384213246,2.5,1,277.83914744478056,53.70963784200108,1,0,1,CLEAR,52.87903870112744,71.40854154464947,119.39528650165808,20.693851681450305,97.66909077523712,140.0,14.0,100.0,A2,C6,1680.4609037559005,Lubricate Relay,214.7946445083517,0.0850663406786468,0.7543648556805509,0.1996775960999499,L3,O2
2025-01-01 00:00:06,B19,S6,214.06063929177685,9.322244016141207,38.34030185486969,2.5,0,111.78399041894085,391.1494173682095,0,0,0,OCCUPIED,33.56578093763586,59.5742294321199,137.50612804722246,38.61405185233578,94.747602400069,140.0,14.0,100.0,A1,C4,2547.8437062743787,Lubricate Relay,79.52751627752504,0.8625841724367797,0.8987979628838876,0.485673848747547,L5,O9
2025-01-01 00:00:07,B11,S28,228.70420464339244,-6.301263792248108,37.76766287271277,2.5,1,350.49488410154595,169.43709205446447,1,0,1,CLEAR,18.818670673099593,53.07924360104095,280.42655184741193,17.3483898860848,98.0,140.0,14.0,81.43628011459661,A2,C1,1294.9912696192853,Clean Contacts,79.3112322985555,0.721576127368971,0.9302143190837668,0.2023023934854964,L6,O8
2025-01-01 00:00:08,B11,S25,243.3651579129059,2.419540197279258,47.158041038452275,2.5,0,281.97401967746345,144.0126582954102,1,1,0,OCCUPIED,116.54396533179471,79.25826814062384,134.89305203521812,38.39707105281338,98.0,140.0,14.0,100.0,A4,C10,2578.8162254559456,Clean Contacts,124.68647041247304,0.9549036537891477,0.0118971842902991,0.5302970973597251,L1,O3
2025-01-01 00:00:09,B4,S29,213.8723402283552,6.919318688552022,41.31321682602368,2.5,1,462.9406586910668,178.78474518031842,1,1,1,OCCUPIED,57.74551397990571,48.955588294854586,98.6598889891204,32.89246224225211,98.0,140.0,14.0,100.0,A4,C6,1083.5841554717933,Lubricate Relay,30.63641821805257,0.778219351263797,0.1926576583594361,0.4115728783777267,L2,O5
